scale_degree,scale_degree_f,avg_correct,avg_rt,sem_score,sem_rt,count,degree,gram
do,do,0.946078431372549,8208.3712745222,0.015852465281106905,106.93690750996153,5995,1,One
do,do,0.946078431372549,8208.3712745222,0.015852465281106905,106.93690750996153,26,1-,One
sol,sol,0.8627450980392157,9501.2472058878775,0.0342408466989152,225.9787901167742,6125,5,One
ti,ti,0.7857142857142857,9809.770561223962,0.04166228323951586,273.2780518658439,2458,7,One
ti,ti,0.7857142857142857,9809.770561223962,0.04166228323951586,273.2780518658439,31,7+,One
fa,fa,0.7628865979381443,10417.56365979285,0.043408264936975194,255.8040492015732,3993,4,One
re,re,0.7128712871287128,10252.188316845879,0.045242216470478665,314.0052652702333,4820,2,One
la,la,0.696969696969697,10828.444949500079,0.046423399544431206,254.44252052800516,3423,6,One
la,la,0.696969696969697,10828.444949500079,0.046423399544431206,254.44252052800516,295,6+,One
mi,mi,0.693069306930693,9950.932227728415,0.04612203841129551,208.53915768976987,5533,3,One
mi,mi,0.693069306930693,9950.932227728415,0.04612203841129551,208.53915768976987,162,3+,One
fi,fi,0.6868686868686869,11049.831111103056,0.04684757021860873,298.27055644316886,811,4+,One
fi,fi,0.6868686868686869,11049.831111103056,0.04684757021860873,298.27055644316886,159,5-,One
le,le,0.6138613861386139,11495.881881177967,0.04868630040849207,303.45961061073257,327,6-,One
le,le,0.6138613861386139,11495.881881177967,0.04868630040849207,303.45961061073257,315,5+,One
ra,ra,0.61,10737.899600020442,0.04902071300001973,286.401186537675,250,2-,One
me,me,0.6082474226804123,11263.775515458348,0.04982077205291402,285.3723675749022,311,3-,One
te,te,0.5147058823529411,11165.992279417655,0.06105829573426903,352.7696322834291,1018,7-,One
