6125	5	One	sol
5995	1	One	do
5533	3	One	mi
4820	2	One	re
3993	4	One	fa
3423	6	One	la
2458	7	One	ti
1018	7- 	One	te
811	4+ 	One	fi
374	1+ 	One	di
327	6- 	One	le
315	5+ 	One	si
311	3- 	One	me
295	6+ 	One	li
250	2- 	One	ra
196	2+ 	One	ri
162	3+ 	One	mi
159	5- 	One	se
31	7+ 	One	ti
26	1- 	One	do
17	4- 	One	fo
1	3 6 	One	koo
