14	^3 ^4 ^5 ^6 v5 v4 v3 v2 v1
13	^5 ^6 v5 v4 v3 v2 v1 ^2 ^3
12	^2 ^3 ^4 ^5 ^6 v5 v4 v3 v2
11	^4 ^5 ^6 v5 v4 v3 v2 v1 ^2
8	^5 v4 v3 v2 v1 v7 ^1 ^2 ^3
8	^6 v5 v4 v3 v2 v1 ^2 ^3 ^4
8	v1 v7 v6 v5 ^6 ^7 ^1 ^2 ^3
8	v5 v4 v3 v2 v1 ^2 ^3 ^4 ^5
8	v1 ^2 ^3 ^4 ^5 ^6 v5 v4 v3
8	^6 v5 v4 v3 v2 v1 v7 ^1 ^2
8	v3 ^4 ^5 ^6 v5 v4 v3 v2 v1
7	^4 ^5 ^6 v5 v4 v3 v2 v1 v7
7	^1 v7 v6 v5 v4 v3 v2 v1 1
7	v5 v4 v3 v2 v1 ^2 ^3 v2 v1
7	3 ^4 ^5 ^6 v5 v4 v3 v2 v1
6	^3 ^4 ^5 ^6 v5 v4 v3 v2 ^3
6	v4 v3 v2 v1 v7 ^1 ^2 ^3 v2
6	^5 ^6 v5 v4 v3 v2 v1 v7 ^1
6	v2 v1 v7 v6 v5 ^6 ^7 ^1 ^2
6	^5 ^1 v7 v6 v5 v4 v3 v2 v1
5	v4 v3 v2 v1 ^2 ^3 ^4 ^5 ^6
5	v7 v6 v5 ^6 v5 v4 v3 v2 v1
5	v3 v2 v1 v7 ^1 ^2 ^3 v2 v1
5	^6 v5 v4 v3 v2 ^3 ^4 ^5 ^6
5	v1 v5 ^1 ^3 ^5 v4 v3 ^4 v2
5	v3 v2 v1 ^2 ^3 ^4 v3 v2 v1
5	^4 v3 ^4 ^5 ^6 v5 v4 v3 v2
5	v7 v6 v5 ^6 ^7 ^1 ^2 ^3 ^4
5	^6 ^7 ^1 v7 v6 v5 v4 v3 v2
5	v2 ^3 v1 v5 ^1 ^3 ^5 v4 v3
5	^3 3 ^4 ^5 ^6 v5 v4 v3 v2
5	^3 v1 1 ^2 ^3 ^4 ^5 ^6 v5
5	^1 v7 ^1 v7 ^1 v7 ^1 v7 ^1
5	v7 v6 v5 v4 v3 v2 v1 ^2 ^3
5	v3 v2 v1 v7 v6 v5 ^6 ^7 ^1
5	v1 v7 v6 v5 ^6 v5 v4 v3 v2
5	^2 v1 v7 v6 v5 ^6 v5 v4 v3
5	^2 ^3 ^4 v3 v2 v1 v7 v6 v5
5	v2 v1 v7 ^1 ^2 ^3 ^4 ^5 ^6
5	^2 ^3 3 ^4 ^5 ^6 v5 v4 v3
5	v5 v4 v3 v2 ^3 ^4 ^5 ^6 v5
4	^4 ^5 ^6 v5 v4 v3 v2 v1 ^3
4	v7 ^1 v7 ^1 v7 ^1 v7 ^1 v7
4	v4 v3 v2 ^3 ^4 ^5 ^6 v5 v4
4	^5 v4 v3 ^4 v2 ^3 v1 v5 ^1
4	^7 ^2 ^4 ^6 v5 ^1 1 v1+ ^2
4	v1 ^2 ^3 ^4 v3 v2 v1 v7 v6
4	^1 1 v1+ ^2 ^3 ^4 v7 ^2 v1
4	v4+ ^5 ^6 v5 5 v4+ ^5 v4+ ^5
4	v4+ ^5 ^6 v5 v4+ ^5 ^6 v5 5
4	^6 v5 v4 v3 v2 v1 v7 ^2 ^5
4	1 ^5 5 5 5 5 v4 v3 v2-
4	v5 v4 v3 v2 v1 v7 ^2 ^5 v4
4	^2 v1 ^2 ^3 ^4 ^5 ^6 v5 v4
4	v2 v1 ^2 ^3 v5 5 5 ^7 ^2
4	^2 ^3 ^4 ^5 ^6 ^7 ^1 ^2 v1
4	^5 v4+ ^5 ^6 v5 v4+ ^5 ^6 v5
4	^3 ^5 ^1 v7 v6 v5 v4 v3 v2
4	v4 v3 ^4 ^5 ^6 v5 v4 v3 v2
4	v4 v3 v2 v1 v7 ^1 ^2 ^3 ^4
4	v3 v2 v1 v7 ^1 ^2 ^3 ^4 ^5
4	2 ^3 ^4 ^5 v4 v3 v2 v1 1
4	^2 ^3 v5 5 5 ^7 ^2 ^4 ^6
4	v5 v4 ^5 v4 v3 ^4 v3 v2 ^3
4	^1 ^2 v1 v7 v6 v5 ^6 v5 v4
4	^3 ^4 ^5 ^6 ^7 ^1 ^2 v1 v7
4	v2 ^3 ^4 ^5 ^6 v5 v4 v3 v2
4	^2 v1 v7 v6 v5 v4 v3 v2 ^3
4	^4 ^5 ^6 v5 v4 ^5 v4 v3 v2
4	^2 ^4 ^6 v5 ^1 1 v1+ ^2 ^3
4	v5 ^1 ^3 ^5 v4 v3 ^4 v2 ^3
4	^5 ^6 v5 v4+ ^5 ^6 v5 5 v4+
4	5 ^7 ^2 ^4 ^6 v5 ^1 1 v1+
4	v2 v1 v7 v6 v5 ^6 ^7 ^1 1
4	^6 v5 v4 v3 v2 ^5 v4 v3 v2
4	v1 ^2 ^3 v5 5 5 ^7 ^2 ^4
4	v3 ^4 v2 ^3 v1 v5 ^1 ^3 ^5
4	1 ^2 ^3 ^4 ^5 ^6 v5 v4 v3
4	^6 v4 4 v2 ^4 ^5 v4 v3 v2
4	v5 v4 v3 ^4 v2 v7 ^1 ^2 ^3
4	^6 v5 ^1 1 v1+ ^2 ^3 ^4 v7
4	v4 v3 ^4 v2 ^3 v1 v5 ^1 ^3
4	^6 v5 v4 v3 v2 v1 ^2 ^3 v2
4	^1 v5 v3 3 v2 ^3 ^4 v3 v2
4	v5 v4 v3 v2 ^3 ^4 v3 v2 v1
4	^4 ^5 v4 v3 v2 v1 v7 ^1 ^2
