"subject","rt","button_pressed","key","scale_degree","score","stimuli_together"
55070,"10016.625000047497","fi","e","fi",1,"e-fi.mp3"
55070,"8417.424999992363","ti","e","ti",1,"e-ti.mp3"
55070,"8785.520000034012","la","e","la",1,"e-la.mp3"
55070,"10256.135000032373","la","a","la",1,"a-la.mp3"
55070,"12175.290000042878","la","c","la",1,"c-la.mp3"
55070,"17107.895000022836","mi","e","me",0,"e-me.mp3"
55070,"7629.674999974668","do","e","do",1,"e-do.mp3"
55070,"9868.664999958128","mi","c","mi",1,"c-mi.mp3"
55070,"7650.634999969043","do","c","do8",0,"c-do8.mp3"
55070,"12180.860000080429","me","a","mi",0,"a-mi.mp3"
55070,"8461.099999956787","sol","a","sol",1,"a-sol.mp3"
55070,"11998.474999913014","le","a","le",1,"a-le.mp3"
55070,"8182.7099999645725","fa","a","fa",1,"a-fa.mp3"
55070,"15875.145000056364","re","e","re",1,"e-re.mp3"
55070,"9828.56999989599","le","e","le",1,"e-le.mp3"
55070,"9367.369999992661","mi","e","mi",1,"e-mi.mp3"
55070,"16238.604999962263","me","c","me",1,"c-me.mp3"
55070,"7746.820000000298","fi","a","fi",1,"a-fi.mp3"
55070,"7437.8100000321865","do","a","do",1,"a-do.mp3"
55070,"10963.579999981448","le","c","le",1,"c-le.mp3"
55070,"10835.379999945872","te","e","te",1,"e-te.mp3"
55070,"8467.50000002794","re","a","re",1,"a-re.mp3"
55070,"9438.839999958873","fa","e","fa",1,"e-fa.mp3"
55070,"8177.864999976009","ra","a","ra",1,"a-ra.mp3"
55070,"null","null","c","fi",0,"c-fi.mp3"
55070,"1550.1999999396503","fi","a","ti",0,"a-ti.mp3"
55070,"9748.099999967963","sol","e","sol",1,"e-sol.mp3"
55070,"10021.180000039749","ti","c","ti",1,"c-ti.mp3"
55070,"15227.42000001017","le","e","ra",0,"e-ra.mp3"
55070,"11113.08999999892","me","a","me",1,"a-me.mp3"
55070,"7908.584999968298","do","a","do8",0,"a-do8.mp3"
55070,"7501.709999982268","do","e","do8",0,"e-do8.mp3"
55070,"7763.139999937266","re","c","re",1,"c-re.mp3"
55070,"13473.28000003472","le","a","te",0,"a-te.mp3"
55070,"10077.189999981783","sol","c","sol",1,"c-sol.mp3"
55070,"7605.065000010654","ra","c","ra",1,"c-ra.mp3"
55070,"7930.389999994077","fa","c","fa",1,"c-fa.mp3"
55070,"7447.874999954365","do","c","do",1,"c-do.mp3"
