"subject","rt","button_pressed","key","scale_degree","score","stimuli_together"
4983,"8401.63500001654","te","a","te",1,"a-te.mp3"
4983,"10992.580000078306","do","a","do8",0,"a-do8.mp3"
4983,"14725.88500007987","ra","c","ra",1,"c-ra.mp3"
4983,"10594.824999803677","fi","c","fi",1,"c-fi.mp3"
4983,"9320.115000009537","ti","c","ti",1,"c-ti.mp3"
4983,"11686.689999885857","la","c","la",1,"c-la.mp3"
4983,"9935.640000039712","fa","a","fa",1,"a-fa.mp3"
4983,"12268.159999977797","re","e","te",0,"e-te.mp3"
4983,"11853.920000139624","le","a","le",1,"a-le.mp3"
4983,"10674.385000020266","sol","a","sol",1,"a-sol.mp3"
4983,"7605.20499991253","do","a","do",1,"a-do.mp3"
4983,"9777.79999980703","sol","e","sol",1,"e-sol.mp3"
4983,"8406.67499997653","mi","e","mi",1,"e-mi.mp3"
4983,"10923.805000027642","re","c","re",1,"c-re.mp3"
4983,"9535.924999974668","fa","e","fa",1,"e-fa.mp3"
4983,"13767.089999979362","le","a","me",0,"a-me.mp3"
4983,"9641.604999778792","me","e","me",1,"e-me.mp3"
4983,"14384.534999961033","re","e","re",1,"e-re.mp3"
4983,"15007.680000038818","la","a","mi",0,"a-mi.mp3"
4983,"11741.394999902695","me","c","me",1,"c-me.mp3"
4983,"8364.385000197217","sol","c","sol",1,"c-sol.mp3"
4983,"12749.150000046939","mi","c","mi",1,"c-mi.mp3"
4983,"11064.495000056922","la","a","la",1,"a-la.mp3"
4983,"11909.685000078753","fi","e","fi",1,"e-fi.mp3"
4983,"9278.260000050068","ti","a","ti",1,"a-ti.mp3"
4983,"11349.480000091717","fi","a","fi",1,"a-fi.mp3"
4983,"12313.09499987401","le","e","le",1,"e-le.mp3"
4983,"13021.185000194237","re","a","re",1,"a-re.mp3"
4983,"10457.350000040606","la","e","la",1,"e-la.mp3"
4983,"8542.754999827594","do","c","do",1,"c-do.mp3"
4983,"8671.890000114217","fa","c","fa",1,"c-fa.mp3"
4983,"8500.119999982417","do","e","do8",0,"e-do8.mp3"
4983,"12681.024999823421","le","c","le",1,"c-le.mp3"
4983,"14311.870000092313","ti","e","ti",1,"e-ti.mp3"
4983,"7729.67499983497","do","e","do",1,"e-do.mp3"
4983,"7916.399999987334","do","c","do8",0,"c-do8.mp3"
4983,"11007.360000163317","ra","e","ra",1,"e-ra.mp3"
4983,"9500.944999977946","ra","a","ra",1,"a-ra.mp3"
