"file.id","mean.entropy","mean.productivity","mean.Simpsons.D","mean.Yules.K","mean.Sichels.S","mean.Honores.H","p.range","p.entropy","p.std","i.abs.range","i.abs.mean","i.abs.std","i.mode","i.entropy","d.range","d.median","d.mode","d.entropy","d.eq.trans","d.half.trans","d.dotted.trans","len","glob.duration","note.dens","tonalness","tonal.clarity","tonal.spike","int.cont.grad.mean","int.cont.grad.std","int.cont.dir.change","step.cont.glob.var","step.cont.glob.dir","step.cont.loc.var","mode","h.contour","int.cont.glob.dir","int.contour.class"
"m1_^3_v1_^5_v3_v2_^3_mono",0.974209812851031,0.933333333333333,0.0133333333333333,111.111111111111,0.04,35.585024240202,7,0.401829021041574,2.51661147842358,5,3.66666666666667,1.86189867250253,6,0.571444035879715,0,2,1,0,1,0,0,7,3,2.33333333333333,0.749651106218407,1.08341885720824,0.219790620598859,3.33333333333333,5.83292280985675,0.5,2.34864408377644,0.364156216728352,0.354838709677419,"minor","ascending","1","ccbb"
"v1_^2_v1_v7_^1_^3_v2_mono",0.912895093574485,0.833333333333333,0.0533333333333333,444.444444444444,0.0666666666666667,44.9183575735354,5,0.401829021041574,1.73205080756888,3,2,1.09544511501033,1,0.497755792727213,0,2,1,0,1,0,0,7,3,2.33333333333333,0.613244570949367,1.39528532599882,0.199925798487059,0.666666666666667,0,0,1.61644771824097,0.440922263439162,0.193548387096774,"major","ascending","1","cccc"
"v1_v7-_^7_mono",0.5,1,0,0,0,-65.3426409720027,2,0.345687124043405,1,1,1.5,0.707106781186548,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.292344885863392,1.22065429459896,0.146749590628518,1,0,0,0.823054891753102,-0.471463917820284,0.0483870967741935,"minor","concave","-1","cccc"
"v1_v7-_7-_mono",0.5,1,0,0,0,-65.3426409720027,2,0.200284262719718,1.15470053837925,2,1,1.4142135623731,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.632245877742562,1.03851264497003,0.206285569746876,2,0,0,0.950381926622983,-0.81659945960021,0.032258064516129,"major","desc-horiz","-1","bbbb"
"v2_2_^3_^4_v2_mono",0.6875,0.875,0,312.5,0.0833333333333333,-12.215320907968,3,0.299010208750679,1.4142135623731,3,1.5,1.29099444873581,4,0.442129458915007,0,2,1,0,1,0,0,5,2,2.5,0.784143465963527,1.39362037025422,0.261481678743222,0,0,0,1.2747548783982,0.328672432950831,0.09375,"minor","convex","0","cccc"
"v2_v5_^3_mono",0.5,1,0,0,0,-65.3426409720027,5,0.345687124043405,2.51661147842358,2,4,1.4142135623731,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.732120473260288,1.10149297274201,0.195487966766524,2,0,0,2.07130938795853,0.374681528604973,0.129032258064516,"major","convex","1","dddd"
"v3_v2_v1_mono",0,0.5,0,-1250,0.5,-50,4,0.345687124043405,2,0,2,0,1,0,0,2,1,0,1,0,0,3,1,3,0.563306875132956,1.30167605361145,0.17653293828148,4,0,0,1.6461097835062,-0.942927835640568,0.0645161290322581,"major","descending","-1","bbbb"
"v4_v3_v2_mono",0,0.5,0,-1250,0.5,-50,3,0.345687124043405,1.52752523165195,1,1.5,0.707106781186548,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.677658560267019,1.78331305827585,0.245719757259061,3,0,0,1.25723711418742,-0.925936753222239,0.0483870967741935,"minor","descending","-1","bbbb"
"v5_^6+_^7_^1_5_mono",0.496254806628815,0.645833333333333,0,711.805555555556,0.125,4.45134575869864,5,0.41918076638251,2.28035085019828,4,2.5,1.73205080756888,3,0.331597094186256,0,2,1,0,1,0,0,5,2,2.5,0.741264735575821,1.21446131419324,0.206832739667696,0,0,0,2.05548047910945,0.203833989939228,0.15625,"major","convex","0","cccc"
"v5_v4_v3_mono",0,0.5,0,-1250,0.5,-50,3,0.345687124043405,1.52752523165195,1,1.5,0.707106781186548,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.542562568273999,1.10118888240886,0.195479131850425,3,0,0,1.25723711418742,-0.925936753222239,0.0483870967741935,"minor","descending","-1","bbbb"
"v5_v4_v3_v2_v1_mono",0,0.25,0,-1649.30555555556,0.25,-25,7,0.506422483176722,2.70185121722126,1,1.75,0.5,1,0.179344979098349,0,2,1,0,1,0,0,5,2,2.5,0.805331998408774,1.4284249958067,0.176813714475612,3.5,0,0,2.43541577559151,-0.974865079913559,0.109375,"major","descending","-1","bbbb"
"v5_v4_v6+_^7_^3+_v3_v2_v5_^4_mono",0.960375937481971,0.925,0.00714285714285714,31.25,0,79.5902020036772,12,0.642906627645581,4.04488703317053,9,4.5,3.50509832753866,4,0.607928006008135,0,2,1,0,1,0,0,9,4,2.25,0.446637150942913,1.03483722051068,0.137904846173572,4.5,6.17065013405582,0.5,3.84418753155693,-0.269179156435799,0.580645161290323,"minor","concave","-1","aecc"
"v5-_v3_3_^4+_v3_mono",0.6875,0.875,0,312.5,0.0833333333333333,-12.215320907968,2,0.211768491956466,1.09544511501033,2,1.5,1,1,0.331597094186256,0,2,1,0,1,0,0,5,2,2.5,0.589258930657919,1.05201537243922,0.188569034776839,1,0,0,0.987420882906575,-0.282876190928009,0.09375,"major","descending","-1","cccc"
"v7_v6_v5_^6_v5_v4_^5_^6_v5_mono",0.776774657160843,0.561904761904762,0.049047619047619,262.259070294785,0.19,73.6680378367472,6,0.382274724974092,1.76383420737639,0,2,0,1,0.21099169464165,0,2,1,0,1,0,0,9,4,2.25,0.56570918565166,1.23035832858389,0.181831161600506,1,0,0,1.6763161522499,-0.514409307345689,0.258064516129032,"major","descending","-1","cccc"
