"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":1898550},{""page_index"":1,""viewing_time"":19435},{""page_index"":2,""viewing_time"":1932}]","1919918","instructions","0","1919980","0.0-0.0","26283","","","","","",""
"","2695","survey-text","1","1922681","0.0-1.0","26283","{""Q0"":""29""}","","","","",""
"","4343","survey-text","2","1927025","0.0-2.0","26283","{""Q0"":""Finished PhD""}","","","","",""
"","8670","survey-text","3","1935698","0.0-3.0","26283","{""Q0"":""Moveable-Do""}","","","","",""
"","8604","survey-text","4","1944303","0.0-4.0","26283","{""Q0"":""No""}","","","","",""
"","11343","survey-text","5","1955647","0.0-5.0","26283","{""Q0"":""60""}","","","","",""
"","22451","survey-text","6","1978101","0.0-6.0","26283","{""Q0"":""0""}","","","","",""
"[{""page_index"":0,""viewing_time"":2376},{""page_index"":1,""viewing_time"":15783},{""page_index"":2,""viewing_time"":2604}]","20764","instructions","7","1998866","0.0-7.0","26283","","","","","",""
"","8644","audio-button-response","8","2007515","0.0-8.0","26283","","stimuli/long/c-do.mp3","0","","",""
"","9212","audio-button-response","9","2016728","0.0-9.0","26283","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":7337},{""page_index"":1,""viewing_time"":20439}]","27776","instructions","10","2044506","0.0-10.0","26283","","","","","",""
"","9697","audio-button-response","11","2054205","0.0-11.0-0.0","26283","","stimuli/long/a-la.mp3","8","","",""
"","7882","audio-button-response","12","2062090","0.0-11.0-0.1","26283","","stimuli/long/c-ti.mp3","11","","",""
"","9339","audio-button-response","13","2071431","0.0-11.0-0.2","26283","","stimuli/long/c-ra.mp3","1","","",""
"","11613","audio-button-response","14","2083048","0.0-11.0-0.3","26283","","stimuli/long/c-me.mp3","8","","",""
"","7975","audio-button-response","15","2091025","0.0-11.0-0.4","26283","","stimuli/long/c-sol.mp3","7","","",""
"","8492","audio-button-response","16","2099520","0.0-11.0-0.5","26283","","stimuli/long/e-fa.mp3","5","","",""
"","10818","audio-button-response","17","2110341","0.0-11.0-0.6","26283","","stimuli/long/a-fi.mp3","8","","",""
"","9791","audio-button-response","18","2120132","0.0-11.0-0.7","26283","","stimuli/long/a-me.mp3","1","","",""
"","7827","audio-button-response","19","2127961","0.0-11.0-0.8","26283","","stimuli/long/c-do8.mp3","12","","",""
"","8074","audio-button-response","20","2136037","0.0-11.0-0.9","26283","","stimuli/long/c-fa.mp3","5","","",""
"","7905","audio-button-response","21","2143945","0.0-11.0-0.10","26283","","stimuli/long/e-me.mp3","7","","",""
"","7663","audio-button-response","22","2151610","0.0-11.0-0.11","26283","","stimuli/long/a-fa.mp3","5","","",""
"","9998","audio-button-response","23","2161609","0.0-11.0-0.12","26283","","stimuli/long/c-fi.mp3","3","","",""
"","7766","audio-button-response","24","2169377","0.0-11.0-0.13","26283","","stimuli/long/e-re.mp3","3","","",""
"","8994","audio-button-response","25","2178372","0.0-11.0-0.14","26283","","stimuli/long/c-le.mp3","8","","",""
"","7523","audio-button-response","26","2185896","0.0-11.0-0.15","26283","","stimuli/long/e-sol.mp3","7","","",""
"","11357","audio-button-response","27","2197255","0.0-11.0-0.16","26283","","stimuli/long/e-la.mp3","3","","",""
"","8210","audio-button-response","28","2205467","0.0-11.0-0.17","26283","","stimuli/long/a-te.mp3","7","","",""
"","8435","audio-button-response","29","2213904","0.0-11.0-0.18","26283","","stimuli/long/a-re.mp3","2","","",""
"","8844","audio-button-response","30","2222750","0.0-11.0-0.19","26283","","stimuli/long/a-le.mp3","8","","",""
"","8208","audio-button-response","31","2230961","0.0-11.0-0.20","26283","","stimuli/long/a-ra.mp3","3","","",""
"","8405","audio-button-response","32","2239367","0.0-11.0-0.21","26283","","stimuli/long/a-do.mp3","0","","",""
"","9403","audio-button-response","33","2248772","0.0-11.0-0.22","26283","","stimuli/long/c-la.mp3","8","","",""
"","8319","audio-button-response","34","2257093","0.0-11.0-0.23","26283","","stimuli/long/e-do8.mp3","12","","",""
"","8387","audio-button-response","35","2265481","0.0-11.0-0.24","26283","","stimuli/long/e-le.mp3","3","","",""
"","7343","audio-button-response","36","2272825","0.0-11.0-0.25","26283","","stimuli/long/e-do.mp3","0","","",""
"","7510","audio-button-response","37","2280336","0.0-11.0-0.26","26283","","stimuli/long/c-do.mp3","0","","",""
"","7863","audio-button-response","38","2288199","0.0-11.0-0.27","26283","","stimuli/long/a-sol.mp3","7","","",""
"","7764","audio-button-response","39","2295963","0.0-11.0-0.28","26283","","stimuli/long/e-fi.mp3","8","","",""
"","8384","audio-button-response","40","2304348","0.0-11.0-0.29","26283","","stimuli/long/c-re.mp3","2","","",""
