"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":2346.8250000150874},{""page_index"":1,""viewing_time"":2521.3399999774992},{""page_index"":2,""viewing_time"":1971.9000000040978}]","6841.064999927767","instructions","0","6844","0.0-0.0","35929","","",""
"","5938.680000021122","survey-text","1","12786","0.0-1.0","35929","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":""""}","",""
"[{""page_index"":0,""viewing_time"":5287.489999900572},{""page_index"":1,""viewing_time"":2661.475000088103},{""page_index"":2,""viewing_time"":4004.1000000201166}]","11953.794999979436","instructions","2","24741","0.0-2.0","35929","","",""
"","8027.174999937415","audio-button-response","3","32775","0.0-3.0","35929","","stimuli/c-do.mp3","0"
"","13607.844999991357","audio-button-response","4","46387","0.0-4.0","35929","","stimuli/a-le.mp3","7"
"[{""page_index"":0,""viewing_time"":11737.460000091232},{""page_index"":1,""viewing_time"":2076.2699999613687}]","13814.390000072308","instructions","5","60202","0.0-5.0","35929","","",""
"","15172.479999950156","audio-button-response","6","75378","0.0-6.0-0.0","35929","","stimuli/a-le.mp3","7"
"","17943.6149999965","audio-button-response","7","93325","0.0-6.0-0.1","35929","","stimuli/a-mi.mp3","0"
"","13041.429999982938","audio-button-response","8","106369","0.0-6.0-0.2","35929","","stimuli/c-ra.mp3","0"
"","null","audio-button-response","9","126372","0.0-6.0-0.3","35929","","stimuli/c-fa.mp3","null"
"","13267.860000021756","audio-button-response","10","139643","0.0-6.0-0.4","35929","","stimuli/a-ti.mp3","11"
"","17902.60999999009","audio-button-response","11","157549","0.0-6.0-0.5","35929","","stimuli/c-la.mp3","7"
"","17132.949999999255","audio-button-response","12","174685","0.0-6.0-0.6","35929","","stimuli/c-fi.mp3","10"
"","18199.05000005383","audio-button-response","13","192887","0.0-6.0-0.7","35929","","stimuli/e-re.mp3","2"
"","8011.380000039935","audio-button-response","14","200901","0.0-6.0-0.8","35929","","stimuli/a-do8.mp3","0"
"","15801.63000000175","audio-button-response","15","216706","0.0-6.0-0.9","35929","","stimuli/a-fi.mp3","2"
"","18372.089999960735","audio-button-response","16","235081","0.0-6.0-0.10","35929","","stimuli/a-sol.mp3","0"
"","17465.83500003908","audio-button-response","17","252550","0.0-6.0-0.11","35929","","stimuli/e-do8.mp3","0"
"","5833.574999938719","audio-button-response","18","258386","0.0-6.0-0.12","35929","","stimuli/e-di.mp3","0"
"","null","audio-button-response","19","278391","0.0-6.0-0.13","35929","","stimuli/c-re.mp3","null"
"","19869.204999995418","audio-button-response","20","298264","0.0-6.0-0.14","35929","","stimuli/c-mi.mp3","7"
"","19770.725000067614","audio-button-response","21","318039","0.0-6.0-0.15","35929","","stimuli/e-mi.mp3","9"
"","13804.744999972172","audio-button-response","22","331847","0.0-6.0-0.16","35929","","stimuli/a-fa.mp3","5"
"","18107.2400000412","audio-button-response","23","349957","0.0-6.0-0.17","35929","","stimuli/e-me.mp3","0"
"","null","audio-button-response","24","369961","0.0-6.0-0.18","35929","","stimuli/a-la.mp3","null"
"","1413.315000012517","audio-button-response","25","371378","0.0-6.0-0.19","35929","","stimuli/e-fa.mp3","5"
"","8991.659999941476","audio-button-response","26","380372","0.0-6.0-0.20","35929","","stimuli/e-do.mp3","0"
"","14978.52000000421","audio-button-response","27","395354","0.0-6.0-0.21","35929","","stimuli/a-re.mp3","5"
"","12039.325000019744","audio-button-response","28","407397","0.0-6.0-0.22","35929","","stimuli/e-la.mp3","9"
"","14622.779999976046","audio-button-response","29","422023","0.0-6.0-0.23","35929","","stimuli/c-ti.mp3","10"
"","9578.95999995526","audio-button-response","30","431604","0.0-6.0-0.24","35929","","stimuli/c-do.mp3","0"
"","8733.684999984689","audio-button-response","31","440342","0.0-6.0-0.25","35929","","stimuli/a-do.mp3","0"
"","11840.265000006184","audio-button-response","32","452185","0.0-6.0-0.26","35929","","stimuli/c-sol.mp3","9"
"","null","audio-button-response","33","472190","0.0-6.0-0.27","35929","","stimuli/a-te.mp3","null"
"","14560.98499998916","audio-button-response","34","486754","0.0-6.0-0.28","35929","","stimuli/c-me.mp3","10"
"","12587.195000029169","audio-button-response","35","499345","0.0-6.0-0.29","35929","","stimuli/e-sol.mp3","9"
"","16180.780000053346","audio-button-response","36","515529","0.0-6.0-0.30","35929","","stimuli/e-ti.mp3","8"
"","12685.395000036806","audio-button-response","37","528217","0.0-6.0-0.31","35929","","stimuli/a-me.mp3","0"
"","null","audio-button-response","38","548222","0.0-6.0-0.32","35929","","stimuli/e-le.mp3","null"
"","783.4900000598282","audio-button-response","39","549008","0.0-6.0-0.33","35929","","stimuli/c-le.mp3","11"
"","8659.59500009194","audio-button-response","40","557671","0.0-6.0-0.34","35929","","stimuli/c-do8.mp3","0"
"","13770.35500004422","audio-button-response","41","571445","0.0-6.0-0.35","35929","","stimuli/e-fi.mp3","7"
"","11922.095000045374","audio-button-response","42","583371","0.0-6.0-0.36","35929","","stimuli/e-te.mp3","4"
"","15112.644999986514","audio-button-response","43","598487","0.0-6.0-0.37","35929","","stimuli/e-ra.mp3","9"
"","17143.1899999734","audio-button-response","44","615634","0.0-6.0-0.38","35929","","stimuli/a-ra.mp3","7"
"","12092.10000000894","survey-text","45","627728","0.0-7.0","35929","{""Q0"":""47""}","",""
"[{""page_index"":0,""viewing_time"":7058.209999930114}]","7058.729999931529","instructions","46","634787","0.0-8.0","35929","","",""
