"subject","rt","button_pressed_vector_c","trial_answer","score","trial_length","stimulus","serial_order"
7361,"12571.8999998644","fi","ti",0,2,"v7_v3",1
7361,"17113.10499999672","fi","mi",0,2,"v7_v3",2
7361,"1295.2999998815358","fa","fa",1,2,"v4_v3",1
7361,"1963.5199999902397","mi","mi",1,2,"v4_v3",2
7361,"24421.82999989018","sol","sol",1,2,"v5_v1+",1
7361,"3327.0750001538545","ra","ra",1,2,"v5_v1+",2
7361,"1478.804999962449","mi","mi",1,2,"v3_v2",1
7361,"1115.965000120923","re","re",1,2,"v3_v2",2
7361,"8601.644999813288","mi","mi",1,2,"3_^6",1
7361,"5227.509999880567","la","la",1,2,"3_^6",2
7361,"7911.7199999745935","do","do",1,2,"^1_^2+",1
7361,"1813.1849998608232","me","me",1,2,"^1_^2+",2
7361,"1514.3350001890212","re","re",1,2,"v2_v1",1
7361,"1456.9449999835342","do","do",1,2,"v2_v1",2
7361,"4966.78000013344","re","re",1,2,"^2_v7-",1
7361,"5402.729999972507","te","te",1,2,"^2_v7-",2
7361,"12308.840000070632","sol","sol",1,2,"^5_^1+",1
7361,"6201.994999777526","me","ra",0,2,"^5_^1+",2
7361,"8712.539999978617","mi","mi",1,2,"^3_v4+",1
7361,"5472.045000176877","fi","fi",1,2,"^3_v4+",2
7361,"6830.134999938309","do","do",1,3,"^1_v6_v5+",1
7361,"6599.174999864772","la","la",1,3,"^1_v6_v5+",2
7361,"4475.549999857321","le","le",1,3,"^1_v6_v5+",3
7361,"1501.5849999617785","mi","mi",1,3,"v3_v2_v1",1
7361,"1631.495000096038","re","re",1,3,"v3_v2_v1",2
7361,"1504.2099999263883","do","do",1,3,"v3_v2_v1",3
7361,"11478.645000141114","la","la",1,3,"6_^1_v5",1
7361,"774.7249999083579","do","do",1,3,"6_^1_v5",2
7361,"3168.294999981299","sol","sol",1,3,"6_^1_v5",3
7361,"666.8549999594688","do","do",1,3,"1_v1+_^2",1
7361,"1685.9649999532849","ra","ra",1,3,"1_v1+_^2",2
7361,"1211.6499999538064","re","re",1,3,"1_v1+_^2",3
7361,"6331.579999998212","do","do",1,3,"v1_v7-_^7",1
7361,"5489.204999990761","te","te",1,3,"v1_v7-_^7",2
7361,"3136.6199997719377","ti","ti",1,3,"v1_v7-_^7",3
7361,"4431.44499999471","sol","sol",1,3,"v5_v4_v3",1
7361,"1282.6299997977912","fa","fa",1,3,"v5_v4_v3",2
7361,"1376.7049999441952","mi","mi",1,3,"v5_v4_v3",3
7361,"1449.8349998611957","re","re",1,3,"v2_v5_^3",1
7361,"4998.579999897629","sol","sol",1,3,"v2_v5_^3",2
7361,"2225.2250001765788","mi","mi",1,3,"v2_v5_^3",3
7361,"3472.6700000464916","la","do",0,3,"v1_v7-_7-",1
7361,"23952.200000174344","le","te",0,3,"v1_v7-_7-",2
7361,"901.7250000033528","le","te",0,3,"v1_v7-_7-",3
7361,"1255.915000103414","fa","fa",1,3,"v4_v3_v2",1
7361,"1512.3550000134856","mi","mi",1,3,"v4_v3_v2",2
7361,"1076.585000148043","re","re",1,3,"v4_v3_v2",3
7361,"6187.959999777377","re","re",1,5,"v2_2_^3_^4_v2",1
