"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":5102},{""page_index"":1,""viewing_time"":86449},{""page_index"":2,""viewing_time"":2657}]","94208","instructions","0","94236","0.0-0.0","4004","","","","","",""
"","4413","survey-text","1","98649","0.0-1.0","4004","{""Q0"":""41""}","","","","",""
"","23440","survey-text","2","122092","0.0-2.0","4004","{""Q0"":""Bachelor's""}","","","","",""
"","39397","survey-text","3","161491","0.0-3.0","4004","{""Q0"":""Moveable-Do, La-Based Minor""}","","","","",""
"","4612","survey-text","4","166104","0.0-4.0","4004","{""Q0"":""No""}","","","","",""
"","28201","survey-text","5","194306","0.0-5.0","4004","{""Q0"":""60 weeks""}","","","","",""
"","7554","survey-text","6","201860","0.0-6.0","4004","{""Q0"":""0""}","","","","",""
"[{""page_index"":0,""viewing_time"":25323},{""page_index"":1,""viewing_time"":1332119},{""page_index"":2,""viewing_time"":2100}]","1359542","instructions","7","1561404","0.0-7.0","4004","","","","","",""
"","11977","audio-button-response","8","1573385","0.0-8.0","4004","","stimuli/long/c-do.mp3","0","","",""
"","51712","audio-button-response","9","1625097","0.0-9.0","4004","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":19742},{""page_index"":1,""viewing_time"":56181}]","75923","instructions","10","1701020","0.0-10.0","4004","","","","","",""
"","14228","audio-button-response","11","1715251","0.0-11.0-0.0","4004","","stimuli/long/a-te.mp3","6","","",""
"","null","audio-button-response","12","1735253","0.0-11.0-0.1","4004","","stimuli/long/e-re.mp3","null","","",""
"","11190","audio-button-response","13","1746444","0.0-11.0-0.2","4004","","stimuli/long/c-fa.mp3","4","","",""
"","10414","audio-button-response","14","1756859","0.0-11.0-0.3","4004","","stimuli/long/c-mi.mp3","5","","",""
"","11256","audio-button-response","15","1768115","0.0-11.0-0.4","4004","","stimuli/long/c-me.mp3","1","","",""
"","10256","audio-button-response","16","1778372","0.0-11.0-0.5","4004","","stimuli/long/c-la.mp3","12","","",""
"","12723","audio-button-response","17","1791096","0.0-11.0-0.6","4004","","stimuli/long/a-le.mp3","6","","",""
"","14327","audio-button-response","18","1805424","0.0-11.0-0.7","4004","","stimuli/long/a-re.mp3","3","","",""
"","9064","audio-button-response","19","1814489","0.0-11.0-0.8","4004","","stimuli/long/a-me.mp3","2","","",""
"","7816","audio-button-response","20","1822307","0.0-11.0-0.9","4004","","stimuli/long/e-ti.mp3","11","","",""
"","11211","audio-button-response","21","1833519","0.0-11.0-0.10","4004","","stimuli/long/a-fa.mp3","6","","",""
"","11845","audio-button-response","22","1845365","0.0-11.0-0.11","4004","","stimuli/long/e-fa.mp3","5","","",""
"","12703","audio-button-response","23","1858069","0.0-11.0-0.12","4004","","stimuli/long/a-ti.mp3","1","","",""
"","13189","audio-button-response","24","1871259","0.0-11.0-0.13","4004","","stimuli/long/c-fi.mp3","6","","",""
"","11813","audio-button-response","25","1883074","0.0-11.0-0.14","4004","","stimuli/long/c-re.mp3","11","","",""
"","10400","audio-button-response","26","1893473","0.0-11.0-0.15","4004","","stimuli/long/c-sol.mp3","7","","",""
"","10678","audio-button-response","27","1904152","0.0-11.0-0.16","4004","","stimuli/long/e-mi.mp3","4","","",""
