"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":6180.584999965504},{""page_index"":1,""viewing_time"":16305.61999999918},{""page_index"":2,""viewing_time"":7593.815000029281}]","30080.770000000484","instructions","0","30104","0.0-0.0","98183","","","","","",""
"","4168.385000026319","survey-text","1","34276","0.0-1.0","98183","{""Q0"":""27""}","","","","",""
"","12789.72000000067","survey-text","2","47067","0.0-2.0","98183","{""Q0"":""PhD Student""}","","","","",""
"","24141.24999998603","survey-text","3","71209","0.0-3.0","98183","{""Q0"":""Moveable-Do or Scale Degree Numbers""}","","","","",""
"","3925.3000000026077","survey-text","4","75135","0.0-4.0","98183","{""Q0"":""Yes""}","","","","",""
"","42004.859999986365","survey-text","5","117142","0.0-5.0","98183","{""Q0"":""60""}","","","","",""
"","30127.359999984037","survey-text","6","147271","0.0-6.0","98183","{""Q0"":""2""}","","","","",""
"[{""page_index"":0,""viewing_time"":6096.244999964256},{""page_index"":1,""viewing_time"":15702.32500002021},{""page_index"":2,""viewing_time"":1856.0099999886006}]","23654.964999994263","instructions","7","170926","0.0-7.0","98183","","","","","",""
"","9674.14000001736","audio-button-response","8","180604","0.0-8.0","98183","","stimuli/long/c-do.mp3","0","","",""
"","8437.494999961928","audio-button-response","9","189043","0.0-9.0","98183","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":1519.9349999893457},{""page_index"":1,""viewing_time"":4595.354999997653}]","6115.560000005644","instructions","10","195159","0.0-10.0","98183","","","","","",""
"","8997.054999985266","audio-button-response","11","204159","0.0-11.0-0.0","98183","","stimuli/long/e-le.mp3","8","","",""
"","8954.744999995455","audio-button-response","12","213116","0.0-11.0-0.1","98183","","stimuli/long/a-te.mp3","10","","",""
"","8538.74500002712","audio-button-response","13","221658","0.0-11.0-0.2","98183","","stimuli/long/c-fi.mp3","6","","",""
"","8855.270000000019","audio-button-response","14","230515","0.0-11.0-0.3","98183","","stimuli/long/a-me.mp3","3","","",""
