"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":799.6850000000677},{""page_index"":1,""viewing_time"":904.4099999999844},{""page_index"":2,""viewing_time"":889.9599999999737}]","2594.8900000000776","instructions","0","2665","0.0-0.0","51424","","","","","",""
"","2348.045000000069","survey-text","1","5016","0.0-1.0","51424","{""Q0"":""27""}","","","","",""
"","12292.399999999929","survey-text","2","17309","0.0-2.0","51424","{""Q0"":""Ph.D. Student""}","","","","",""
"","8139.684999999987","survey-text","3","25450","0.0-3.0","51424","{""Q0"":""Moveable-Do""}","","","","",""
"","3341.475000000064","survey-text","4","28792","0.0-4.0","51424","{""Q0"":""No""}","","","","",""
"","38986.584999999985","survey-text","5","67781","0.0-5.0","51424","{""Q0"":""120""}","","","","",""
"","12117.115000000005","survey-text","6","79899","0.0-6.0","51424","{""Q0"":""5""}","","","","",""
"[{""page_index"":0,""viewing_time"":6972.34000000004},{""page_index"":1,""viewing_time"":42735.26500000003},{""page_index"":2,""viewing_time"":1869.6300000000338}]","51577.48000000004","instructions","7","131478","0.0-7.0","51424","","","","","",""
"","8096.645000000077","audio-button-response","8","139577","0.0-8.0","51424","","stimuli/long/c-do.mp3","0","","",""
"","8733.934999999998","audio-button-response","9","148313","0.0-9.0","51424","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":13057.215000000055},{""page_index"":1,""viewing_time"":25087.639999999956}]","38145.04999999996","instructions","10","186458","0.0-10.0","51424","","","","","",""
"","15216.35500000004","audio-button-response","11","201677","0.0-11.0-0.0","51424","","stimuli/long/e-mi.mp3","5","","",""
"","14310.834999999992","audio-button-response","12","215989","0.0-11.0-0.1","51424","","stimuli/long/c-la.mp3","4","","",""
"","9508.779999999999","audio-button-response","13","225500","0.0-11.0-0.2","51424","","stimuli/long/a-sol.mp3","0","","",""
"","10187.325000000012","audio-button-response","14","235689","0.0-11.0-0.3","51424","","stimuli/long/c-re.mp3","9","","",""
"","12378.909999999887","audio-button-response","15","248069","0.0-11.0-0.4","51424","","stimuli/long/a-re.mp3","7","","",""
"","7901.679999999935","audio-button-response","16","255972","0.0-11.0-0.5","51424","","stimuli/long/e-ti.mp3","11","","",""
"","9036.704999999987","audio-button-response","17","265010","0.0-11.0-0.6","51424","","stimuli/long/a-la.mp3","3","","",""
"","10586.929999999993","audio-button-response","18","275599","0.0-11.0-0.7","51424","","stimuli/long/c-me.mp3","9","","",""
"","15712.749999999884","audio-button-response","19","291313","0.0-11.0-0.8","51424","","stimuli/long/a-fa.mp3","2","","",""
"","12246.290000000037","audio-button-response","20","303562","0.0-11.0-0.9","51424","","stimuli/long/a-do8.mp3","4","","",""
"","17454.25","audio-button-response","21","321017","0.0-11.0-0.10","51424","","stimuli/long/a-te.mp3","5","","",""
"","9674.165000000154","audio-button-response","22","330693","0.0-11.0-0.11","51424","","stimuli/long/c-do8.mp3","4","","",""
"","9139.775000000081","audio-button-response","23","339834","0.0-11.0-0.12","51424","","stimuli/long/a-ra.mp3","1","","",""
"","9836.275000000081","audio-button-response","24","349672","0.0-11.0-0.13","51424","","stimuli/long/e-do8.mp3","0","","",""
"","9133.505000000005","audio-button-response","25","358807","0.0-11.0-0.14","51424","","stimuli/long/a-ti.mp3","11","","",""
"","null","audio-button-response","26","378810","0.0-11.0-0.15","51424","","stimuli/long/c-mi.mp3","null","","",""
"","11075.224999999802","audio-button-response","27","389887","0.0-11.0-0.16","51424","","stimuli/long/e-fa.mp3","5","","",""
"","12651.200000000012","audio-button-response","28","402540","0.0-11.0-0.17","51424","","stimuli/long/e-sol.mp3","7","","",""
"","12768.625000000175","audio-button-response","29","415310","0.0-11.0-0.18","51424","","stimuli/long/e-re.mp3","1","","",""
"","19259.519999999786","audio-button-response","30","434571","0.0-11.0-0.19","51424","","stimuli/long/e-fi.mp3","3","","",""
"","10087.545000000042","audio-button-response","31","444660","0.0-11.0-0.20","51424","","stimuli/long/c-sol.mp3","7","","",""
"","8171.02999999997","audio-button-response","32","452833","0.0-11.0-0.21","51424","","stimuli/long/c-do.mp3","0","","",""
"","12844.794999999984","audio-button-response","33","465679","0.0-11.0-0.22","51424","","stimuli/long/e-me.mp3","3","","",""
"","15773.25499999983","audio-button-response","34","481456","0.0-11.0-0.23","51424","","stimuli/long/c-ti.mp3","7","","",""
"","8503.750000000058","audio-button-response","35","489961","0.0-11.0-0.24","51424","","stimuli/long/c-ra.mp3","1","","",""
"","8016.094999999972","audio-button-response","36","497979","0.0-11.0-0.25","51424","","stimuli/long/e-do.mp3","0","","",""
"","7729.679999999877","audio-button-response","37","505710","0.0-11.0-0.26","51424","","stimuli/long/a-do.mp3","0","","",""
"","14703.53500000009","audio-button-response","38","520415","0.0-11.0-0.27","51424","","stimuli/long/a-le.mp3","7","","",""
"","11070.965000000084","audio-button-response","39","531494","0.0-11.0-0.28","51424","","stimuli/long/a-mi.mp3","4","","",""
"","14719.369999999995","audio-button-response","40","546219","0.0-11.0-0.29","51424","","stimuli/long/e-le.mp3","6","","",""
"","15803.055000000051","audio-button-response","41","562025","0.0-11.0-0.30","51424","","stimuli/long/e-te.mp3","8","","",""
"","11752.694999999832","audio-button-response","42","573780","0.0-11.0-0.31","51424","","stimuli/long/a-fi.mp3","5","","",""
"","16914.935000000056","audio-button-response","43","590698","0.0-11.0-0.32","51424","","stimuli/long/c-fi.mp3","4","","",""
"","9197.92499999993","audio-button-response","44","599898","0.0-11.0-0.33","51424","","stimuli/long/e-ra.mp3","1","","",""
"","13463.874999999884","audio-button-response","45","613364","0.0-11.0-0.34","51424","","stimuli/long/e-la.mp3","8","","",""
"","10292.41499999992","audio-button-response","46","623658","0.0-11.0-0.35","51424","","stimuli/long/a-me.mp3","3","","",""
"","15396.285000000033","audio-button-response","47","639056","0.0-11.0-0.36","51424","","stimuli/long/c-le.mp3","7","","",""
"","9867.170000000042","audio-button-response","48","648926","0.0-11.0-0.37","51424","","stimuli/long/c-fa.mp3","5","","",""
"[{""page_index"":0,""viewing_time"":19954.420000000042},{""page_index"":1,""viewing_time"":2013.8549999999814}]","21968.445000000065","instructions","49","670895","0.0-12.0","51424","","","","","",""
"","null","audio-keyboard-response","50","679912","0.0-13.0-0.0","51424","","new_stimuli/mp3/melody_^1_^2+_.mp3","","null","",""
"","1223.5050000000047","html-button-response","51","681137","0.0-13.0-1.0","51424","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","0","","1","new_stimuli/mp3/melody_^1_^2+_.mp3"
"","700.6850000000559","html-button-response","52","681839","0.0-13.0-2.0","51424","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","3","","2","new_stimuli/mp3/melody_^1_^2+_.mp3"
"","null","audio-keyboard-response","53","690906","0.0-13.0-0.1","51424","","new_stimuli/mp3/melody_v2_v1_.mp3","","null","",""
"","2052.4899999999907","html-button-response","54","692960","0.0-13.0-1.1","51424","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","9","","1","new_stimuli/mp3/melody_v2_v1_.mp3"
"","516.5249999999069","html-button-response","55","693479","0.0-13.0-2.1","51424","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","7","","2","new_stimuli/mp3/melody_v2_v1_.mp3"
"","null","audio-keyboard-response","56","702649","0.0-13.0-0.2","51424","","new_stimuli/mp3/melody_v5_v1+_.mp3","","null","",""
"","6159.444999999949","html-button-response","57","708810","0.0-13.0-1.2","51424","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","12","","1","new_stimuli/mp3/melody_v5_v1+_.mp3"
"","3079.2249999999767","html-button-response","58","711891","0.0-13.0-2.2","51424","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","6","","2","new_stimuli/mp3/melody_v5_v1+_.mp3"
