"","subject","rt","button_pressed","key","scale_degree","score","stimuli_together"
"1",23704,"5125.500050922914","mi","c","ra",0,"c-ra.mp3"
"2",23704,"5738.400042317313","sol","e","la",0,"e-la.mp3"
"3",23704,"5743.300087397889","sol","c","do8",0,"c-do8.mp3"
"4",23704,"5413.09989333828","te","c","ti",0,"c-ti.mp3"
"5",23704,"5696.0002242186165","ra","a","do8",0,"a-do8.mp3"
"6",23704,"5677.000065528671","do","e","do",1,"e-do.mp3"
"7",23704,"5455.399839415273","ti","e","sol",0,"e-sol.mp3"
"8",23704,"5297.60007137098","do","a","re",0,"a-re.mp3"
"9",23704,"3533.3998883643944","mi","e","me",0,"e-me.mp3"
"10",23704,"5017.700243403524","mi","c","sol",0,"c-sol.mp3"
"11",23704,"9675.500011447788","sol","e","le",0,"e-le.mp3"
"12",23704,"null","null","a","fa",0,"a-fa.mp3"
"13",23704,"4909.99991315481","mi","a","fi",0,"a-fi.mp3"
"14",23704,"4539.300232666254","ti","a","te",0,"a-te.mp3"
"15",23704,"5876.200141952431","ti","c","le",0,"c-le.mp3"
"16",23704,"5667.499986183713","do","c","do",1,"c-do.mp3"
"17",23704,"5239.299680014781","re","e","ra",0,"e-ra.mp3"
"18",23704,"11308.2997992296","re","e","fi",0,"e-fi.mp3"
"19",23704,"5842.099965182948","re","a","do",0,"a-do.mp3"
"20",23704,"5004.899650329491","mi","a","ti",0,"a-ti.mp3"
"21",23704,"4855.999939997855","mi","c","fi",0,"c-fi.mp3"
"22",23704,"4615.799832783407","mi","e","re",0,"e-re.mp3"
"23",23704,"4810.199736148352","mi","a","me",0,"a-me.mp3"
"24",23704,"4934.700277352065","le","a","mi",0,"a-mi.mp3"
"25",23704,"4545.900075871206","te","a","la",0,"a-la.mp3"
"26",23704,"6100.800081476627","ti","e","ti",1,"e-ti.mp3"
"27",23704,"5321.000125530816","ra","e","te",0,"e-te.mp3"
"28",23704,"5021.799733306223","me","c","fa",0,"c-fa.mp3"
"29",23704,"4557.200220113213","do","a","le",0,"a-le.mp3"
"30",23704,"4874.299810282653","la","a","ra",0,"a-ra.mp3"
"31",23704,"5236.5999774202355","te","e","do8",0,"e-do8.mp3"
"32",23704,"5626.600222165929","ti","c","me",0,"c-me.mp3"
"33",23704,"5285.000011842523","ra","c","mi",0,"c-mi.mp3"
"34",23704,"7768.299672909256","me","c","re",0,"c-re.mp3"
"35",23704,"8066.399893890892","ra","e","mi",0,"e-mi.mp3"
"36",23704,"7034.899942445278","me","e","fa",0,"e-fa.mp3"
"37",23704,"13049.500205665303","mi","c","la",0,"c-la.mp3"
"38",23704,"7555.200016421615","mi","a","sol",0,"a-sol.mp3"
"39",23704,"5785.900044291106",NA,NA,NA,NA,NA
"40",23704,"null",NA,"new","stimuli",NA,"new_stimuli/mp3/melody_^5_^1+_.mp3"
"41",23704,"3096.5000580283813","me","","p",0,"<p>Which tone was played first after the cadence?</p>"
"42",26283,"9697","le","a","la",0,"a-la.mp3"
"43",26283,"7882","ti","c","ti",1,"c-ti.mp3"
"44",26283,"9339","ra","c","ra",1,"c-ra.mp3"
"45",26283,"11613","le","c","me",0,"c-me.mp3"
