"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":2261},{""page_index"":1,""viewing_time"":16734},{""page_index"":2,""viewing_time"":1265}]","20261","instructions","0","20265","0.0-0.0","46833","","","","","",""
"","8334","survey-text","1","28602","0.0-1.0","46833","{""Q0"":""21""}","","","","",""
"","4562","survey-text","2","33166","0.0-2.0","46833","{""Q0"":""Bachelor's""}","","","","",""
"","6327","survey-text","3","39495","0.0-3.0","46833","{""Q0"":""Moveable-Do""}","","","","",""
"","2520","survey-text","4","42015","0.0-4.0","46833","{""Q0"":""No""}","","","","",""
"","13160","survey-text","5","55176","0.0-5.0","46833","{""Q0"":""60 weeks""}","","","","",""
"","3397","survey-text","6","58575","0.0-6.0","46833","{""Q0"":""0""}","","","","",""
"[{""page_index"":0,""viewing_time"":3992},{""page_index"":1,""viewing_time"":21569},{""page_index"":2,""viewing_time"":1449}]","27010","instructions","7","85587","0.0-7.0","46833","","","","","",""
"","8877","audio-button-response","8","94469","0.0-8.0","46833","","stimuli/long/c-do.mp3","0","","",""
"","16209","audio-button-response","9","110679","0.0-9.0","46833","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":4122},{""page_index"":1,""viewing_time"":13348}]","17470","instructions","10","128151","0.0-10.0","46833","","","","","",""
"","12083","audio-button-response","11","140236","0.0-11.0-0.0","46833","","stimuli/long/e-te.mp3","4","","",""
"","7583","audio-button-response","12","147821","0.0-11.0-0.1","46833","","stimuli/long/c-sol.mp3","7","","",""
"","8777","audio-button-response","13","156599","0.0-11.0-0.2","46833","","stimuli/long/e-fa.mp3","5","","",""
"","8529","audio-button-response","14","165130","0.0-11.0-0.3","46833","","stimuli/long/e-sol.mp3","7","","",""
"","8723","audio-button-response","15","173854","0.0-11.0-0.4","46833","","stimuli/long/c-re.mp3","2","","",""
"","8857","audio-button-response","16","182713","0.0-11.0-0.5","46833","","stimuli/long/a-fi.mp3","6","","",""
"","10442","audio-button-response","17","193156","0.0-11.0-0.6","46833","","stimuli/long/c-me.mp3","6","","",""
"","13502","audio-button-response","18","206660","0.0-11.0-0.7","46833","","stimuli/long/c-la.mp3","8","","",""
"","7914","audio-button-response","19","214575","0.0-11.0-0.8","46833","","stimuli/long/c-do8.mp3","12","","",""
"","8797","audio-button-response","20","223374","0.0-11.0-0.9","46833","","stimuli/long/c-fa.mp3","5","","",""
"","8233","audio-button-response","21","231610","0.0-11.0-0.10","46833","","stimuli/long/a-ra.mp3","8","","",""
"","8018","audio-button-response","22","239629","0.0-11.0-0.11","46833","","stimuli/long/c-le.mp3","8","","",""
"","8249","audio-button-response","23","247880","0.0-11.0-0.12","46833","","stimuli/long/e-la.mp3","8","","",""
"","10247","audio-button-response","24","258129","0.0-11.0-0.13","46833","","stimuli/long/a-fa.mp3","9","","",""
"","9482","audio-button-response","25","267611","0.0-11.0-0.14","46833","","stimuli/long/c-fi.mp3","5","","",""
"","7473","audio-button-response","26","275086","0.0-11.0-0.15","46833","","stimuli/long/c-mi.mp3","4","","",""
"","10236","audio-button-response","27","285324","0.0-11.0-0.16","46833","","stimuli/long/a-le.mp3","5","","",""
