"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":1464.6150000007765},{""page_index"":1,""viewing_time"":13342.034999999669},{""page_index"":2,""viewing_time"":2591.679999999542}]","17398.7900000011","instructions","0","17411","0.0-0.0","39534","","","","","",""
"","3098.1750000009924","survey-text","1","20511","0.0-1.0","39534","{""Q0"":""33""}","","","","",""
"","5028.594999999768","survey-text","2","25540","0.0-2.0","39534","{""Q0"":""Bachelor's""}","","","","",""
"","20070.52499999918","survey-text","3","45611","0.0-3.0","39534","{""Q0"":""Numbers""}","","","","",""
"","15207.345000000714","survey-text","4","60819","0.0-4.0","39534","{""Q0"":""No""}","","","","",""
"","14415.51999999865","survey-text","5","75235","0.0-5.0","39534","{""Q0"":""60""}","","","","",""
"","9799.324999999953","survey-text","6","85035","0.0-6.0","39534","{""Q0"":""0""}","","","","",""
"[{""page_index"":0,""viewing_time"":2567.1849999998813},{""page_index"":1,""viewing_time"":36239.86500000137},{""page_index"":2,""viewing_time"":1271.7799999991257}]","40078.98000000023","instructions","7","125114","0.0-7.0","39534","","","","","",""
"","7598.830000000802","audio-button-response","8","132715","0.0-8.0","39534","","stimuli/long/c-do.mp3","0","","",""
"","14670.549999998912","audio-button-response","9","147386","0.0-9.0","39534","","stimuli/long/a-le.mp3","5","","",""
"[{""page_index"":0,""viewing_time"":3279.399999999441},{""page_index"":1,""viewing_time"":7895.850000000792}]","11175.504999999248","instructions","10","158562","0.0-10.0","39534","","","","","",""
"","7790.569999999221","audio-button-response","11","166354","0.0-11.0-0.0","39534","","stimuli/long/c-do8.mp3","0","","",""
"","13278.760000001057","audio-button-response","12","179634","0.0-11.0-0.1","39534","","stimuli/long/a-te.mp3","10","","",""
"","9039.289999998786","audio-button-response","13","188675","0.0-11.0-0.2","39534","","stimuli/long/a-ti.mp3","11","","",""
"","null","audio-button-response","14","208678","0.0-11.0-0.3","39534","","stimuli/long/c-la.mp3","null","","",""
"","17514.815000000468","audio-button-response","15","226195","0.0-11.0-0.4","39534","","stimuli/long/c-me.mp3","8","","",""
"","7710.984999999724","audio-button-response","16","233907","0.0-11.0-0.5","39534","","stimuli/long/e-fi.mp3","6","","",""
"","18054.86000000016","audio-button-response","17","251963","0.0-11.0-0.6","39534","","stimuli/long/a-ra.mp3","6","","",""
"","10238.955000000715","audio-button-response","18","262203","0.0-11.0-0.7","39534","","stimuli/long/a-fa.mp3","5","","",""
"","12399.195000000007","audio-button-response","19","274603","0.0-11.0-0.8","39534","","stimuli/long/c-ra.mp3","10","","",""
"","9766.920000000042","audio-button-response","20","284371","0.0-11.0-0.9","39534","","stimuli/long/c-ti.mp3","11","","",""
"","7718.84499999939","audio-button-response","21","292091","0.0-11.0-0.10","39534","","stimuli/long/e-do.mp3","0","","",""
"","10366.749999999243","audio-button-response","22","302459","0.0-11.0-0.11","39534","","stimuli/long/a-mi.mp3","4","","",""
"","8807.020000000193","audio-button-response","23","311266","0.0-11.0-0.12","39534","","stimuli/long/e-ra.mp3","1","","",""
"","9046.839999999036","audio-button-response","24","320314","0.0-11.0-0.13","39534","","stimuli/long/c-mi.mp3","4","","",""
"","9527.159999999625","audio-button-response","25","329843","0.0-11.0-0.14","39534","","stimuli/long/e-sol.mp3","7","","",""
"","14070.780000000028","audio-button-response","26","343915","0.0-11.0-0.15","39534","","stimuli/long/e-te.mp3","10","","",""
"","13454.900000000664","audio-button-response","27","357370","0.0-11.0-0.16","39534","","stimuli/long/a-le.mp3","5","","",""
"","12902.944999999832","audio-button-response","28","370275","0.0-11.0-0.17","39534","","stimuli/long/c-le.mp3","6","","",""
"","14342.904999999504","audio-button-response","29","384619","0.0-11.0-0.18","39534","","stimuli/long/e-la.mp3","9","","",""
"","8039.165000000154","audio-button-response","30","392659","0.0-11.0-0.19","39534","","stimuli/long/e-do8.mp3","12","","",""
"","10638.919999999402","audio-button-response","31","403299","0.0-11.0-0.20","39534","","stimuli/long/a-do8.mp3","0","","",""
"","9343.259999999602","audio-button-response","32","412643","0.0-11.0-0.21","39534","","stimuli/long/a-re.mp3","2","","",""
"","11262.520000000193","audio-button-response","33","423907","0.0-11.0-0.22","39534","","stimuli/long/e-fa.mp3","5","","",""
"","9373.915000000154","audio-button-response","34","433283","0.0-11.0-0.23","39534","","stimuli/long/c-sol.mp3","7","","",""
"","7743.015000000014","audio-button-response","35","441027","0.0-11.0-0.24","39534","","stimuli/long/e-ti.mp3","11","","",""
"","17582.62500000093","audio-button-response","36","458611","0.0-11.0-0.25","39534","","stimuli/long/e-le.mp3","8","","",""
"","9191.645000000775","audio-button-response","37","467803","0.0-11.0-0.26","39534","","stimuli/long/c-re.mp3","2","","",""
"","10766.630000000063","audio-button-response","38","478571","0.0-11.0-0.27","39534","","stimuli/long/e-me.mp3","3","","",""
"","13694.859999999579","audio-button-response","39","492267","0.0-11.0-0.28","39534","","stimuli/long/c-fi.mp3","6","","",""
"","9375.079999999783","audio-button-response","40","501643","0.0-11.0-0.29","39534","","stimuli/long/a-me.mp3","3","","",""
"","8646.754999999714","audio-button-response","41","510291","0.0-11.0-0.30","39534","","stimuli/long/c-do.mp3","0","","",""
"","15646.984999999462","audio-button-response","42","525939","0.0-11.0-0.31","39534","","stimuli/long/a-la.mp3","9","","",""
"","10206.589999999735","audio-button-response","43","536147","0.0-11.0-0.32","39534","","stimuli/long/c-fa.mp3","5","","",""
"","10423.31500000006","audio-button-response","44","546571","0.0-11.0-0.33","39534","","stimuli/long/a-sol.mp3","7","","",""
"","7790.900000000023","audio-button-response","45","554363","0.0-11.0-0.34","39534","","stimuli/long/a-do.mp3","0","","",""
"","13967.070000000647","audio-button-response","46","568331","0.0-11.0-0.35","39534","","stimuli/long/a-fi.mp3","6","","",""
"","8918.975000000559","audio-button-response","47","577251","0.0-11.0-0.36","39534","","stimuli/long/e-re.mp3","2","","",""
"","8734.784999998636","audio-button-response","48","585987","0.0-11.0-0.37","39534","","stimuli/long/e-mi.mp3","4","","",""
"[{""page_index"":0,""viewing_time"":9495.375000000466},{""page_index"":1,""viewing_time"":1088.1649999992223}]","10583.665000000154","instructions","49","596571","0.0-12.0","39534","","","","","",""
"","null","audio-keyboard-response","50","605995","0.0-13.0-0.0","39534","","new_stimuli/mp3/melody_v4_v3_buffer.mp3","","null","",""
"","1343.1499999987427","html-button-response","51","607340","0.0-13.0-1.0","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","5","","1","new_stimuli/mp3/melody_v4_v3_buffer.mp3"
"","622.8300000001909","html-button-response","52","607963","0.0-13.0-2.0","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","2","new_stimuli/mp3/melody_v4_v3_buffer.mp3"
"","null","audio-keyboard-response","53","617135","0.0-13.0-0.1","39534","","new_stimuli/mp3/melody_v5_v1+_.mp3","","null","",""
"","4025.9549999992596","html-button-response","54","621163","0.0-13.0-1.1","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","12","","1","new_stimuli/mp3/melody_v5_v1+_.mp3"
"","1903.1150000010384","html-button-response","55","623067","0.0-13.0-2.1","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","1","","2","new_stimuli/mp3/melody_v5_v1+_.mp3"
"","null","audio-keyboard-response","56","632139","0.0-13.0-0.2","39534","","new_stimuli/mp3/melody_v2_v1_.mp3","","null","",""
"","3189.9850000009174","html-button-response","57","635331","0.0-13.0-1.2","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","1","new_stimuli/mp3/melody_v2_v1_.mp3"
"","495.2400000001071","html-button-response","58","635827","0.0-13.0-2.2","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","0","","2","new_stimuli/mp3/melody_v2_v1_.mp3"
"","null","audio-keyboard-response","59","645283","0.0-13.0-0.3","39534","","new_stimuli/mp3/melody_v7_v3_buffer.mp3","","null","",""
"","4414.244999999995","html-button-response","60","649700","0.0-13.0-1.3","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","10","","1","new_stimuli/mp3/melody_v7_v3_buffer.mp3"
"","3574.585000000312","html-button-response","61","653276","0.0-13.0-2.3","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","2","new_stimuli/mp3/melody_v7_v3_buffer.mp3"
"","null","audio-keyboard-response","62","662303","0.0-13.0-0.4","39534","","new_stimuli/mp3/melody_^1_^2+_.mp3","","null","",""
"","1026.2400000010384","html-button-response","63","663331","0.0-13.0-1.4","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","0","","1","new_stimuli/mp3/melody_^1_^2+_.mp3"
"","1599.7299999999814","html-button-response","64","664932","0.0-13.0-2.4","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","3","","2","new_stimuli/mp3/melody_^1_^2+_.mp3"
"","null","audio-keyboard-response","65","674234","0.0-13.0-0.5","39534","","new_stimuli/mp3/melody_3_^6_buffer.mp3","","null","",""
"","3551.5949999989243","html-button-response","66","677787","0.0-13.0-1.5","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","1","new_stimuli/mp3/melody_3_^6_buffer.mp3"
"","638.9500000004191","html-button-response","67","678427","0.0-13.0-2.5","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","9","","2","new_stimuli/mp3/melody_3_^6_buffer.mp3"
"","null","audio-keyboard-response","68","687598","0.0-13.0-0.6","39534","","new_stimuli/mp3/melody_^2_v7-_.mp3","","null","",""
"","7738.475000000093","html-button-response","69","695339","0.0-13.0-1.6","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","1","new_stimuli/mp3/melody_^2_v7-_.mp3"
"","3998.8250000005355","html-button-response","70","699339","0.0-13.0-2.6","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","8","","2","new_stimuli/mp3/melody_^2_v7-_.mp3"
"","null","audio-keyboard-response","71","708530","0.0-13.0-0.7","39534","","new_stimuli/mp3/melody_v3_v2_buffer.mp3","","null","",""
"","1381.949999999022","html-button-response","72","709915","0.0-13.0-1.7","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","1","new_stimuli/mp3/melody_v3_v2_buffer.mp3"
"","686.9700000006706","html-button-response","73","710603","0.0-13.0-2.7","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","2","new_stimuli/mp3/melody_v3_v2_buffer.mp3"
"","null","audio-keyboard-response","74","720066","0.0-13.0-0.8","39534","","new_stimuli/mp3/melody_^3_v4+_buffer.mp3","","null","",""
"","5902.089999999618","html-button-response","75","725971","0.0-13.0-1.8","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","1","new_stimuli/mp3/melody_^3_v4+_buffer.mp3"
"","486.86499999894295","html-button-response","76","726459","0.0-13.0-2.8","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","6","","2","new_stimuli/mp3/melody_^3_v4+_buffer.mp3"
"","null","audio-keyboard-response","77","735638","0.0-13.0-0.9","39534","","new_stimuli/mp3/melody_^5_^1+_.mp3","","null","",""
"","8451.105000000098","html-button-response","78","744091","0.0-13.0-1.9","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","1","new_stimuli/mp3/melody_^5_^1+_.mp3"
"","678.4399999997113","html-button-response","79","744772","0.0-13.0-2.9","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","8","","2","new_stimuli/mp3/melody_^5_^1+_.mp3"
"[{""page_index"":0,""viewing_time"":4463.354999999865},{""page_index"":1,""viewing_time"":1647.8000000006286},{""page_index"":2,""viewing_time"":1584.0800000005402}]","7695.354999999865","instructions","80","752467","0.0-14.0","39534","","","","","",""
"","null","audio-keyboard-response","81","761971","0.0-15.0-0.0","39534","","new_stimuli/mp3/melody_1_v1+_^2_.mp3","","null","",""
"","2989.9800000003306","html-button-response","82","764963","0.0-15.0-1.0","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","0","","1","new_stimuli/mp3/melody_1_v1+_^2_.mp3"
"","623.5799999994924","html-button-response","83","765588","0.0-15.0-2.0","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","1","","2","new_stimuli/mp3/melody_1_v1+_^2_.mp3"
"","446.92000000027474","html-button-response","84","766035","0.0-15.0-3.0","39534","","<p>Which tone was played third after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","3","new_stimuli/mp3/melody_1_v1+_^2_.mp3"
"","null","audio-keyboard-response","85","776014","0.0-15.0-0.1","39534","","new_stimuli/mp3/melody_v2_v5_^3_buffer.mp3","","null","",""
"","1292.6650000008522","html-button-response","86","777307","0.0-15.0-1.1","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","1","new_stimuli/mp3/melody_v2_v5_^3_buffer.mp3"
"","3847.060000000056","html-button-response","87","781155","0.0-15.0-2.1","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","7","","2","new_stimuli/mp3/melody_v2_v5_^3_buffer.mp3"
"","1527.0449999988778","html-button-response","88","782683","0.0-15.0-3.1","39534","","<p>Which tone was played third after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","3","new_stimuli/mp3/melody_v2_v5_^3_buffer.mp3"
"","null","audio-keyboard-response","89","792318","0.0-15.0-0.2","39534","","new_stimuli/mp3/melody_6_^1_v5_.mp3","","null","",""
"","14699.199999999139","html-button-response","90","807020","0.0-15.0-1.2","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","9","","1","new_stimuli/mp3/melody_6_^1_v5_.mp3"
"","1406.279999999213","html-button-response","91","808427","0.0-15.0-2.2","39534","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","12","","2","new_stimuli/mp3/melody_6_^1_v5_.mp3"
"","622.9450000009965","html-button-response","92","809051","0.0-15.0-3.2","39534","","<p>Which tone was played third after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","7","","3","new_stimuli/mp3/melody_6_^1_v5_.mp3"
"","null","audio-keyboard-response","93","818622","0.0-15.0-0.3","39534","","new_stimuli/mp3/melody_v3_v2_v1_.mp3","","null","",""
"","1316.5949999983422","html-button-response","94","819939","0.0-15.0-1.3","39534","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","1","new_stimuli/mp3/melody_v3_v2_v1_.mp3"
