scale_degree,scale_degree_f,avg_correct,avg_rt,sem_score,sem_rt,count,degree,gram
do,do,0.9444444444444444,8259.725509270962,0.015621859431722831,103.30960274059152,5995,1,One
do,do,0.9444444444444444,8259.725509270962,0.015621859431722831,103.30960274059152,26,1-,One
sol,sol,0.8518518518518519,9510.066388894067,0.03434300243631004,222.07993603613028,6125,5,One
ti,ti,0.7692307692307693,9955.97932692256,0.04151439017083584,272.4663341140885,2458,7,One
ti,ti,0.7692307692307693,9955.97932692256,0.04151439017083584,272.4663341140885,31,7+,One
fa,fa,0.7475728155339806,10384.972961164112,0.043012503996908785,242.91623949176378,3993,4,One
re,re,0.7009345794392523,10275.619345807801,0.04447018237671836,297.97442928317,4820,2,One
la,la,0.6857142857142857,10901.685333338191,0.04552157181803952,246.887372974237,3423,6,One
la,la,0.6857142857142857,10901.685333338191,0.04552157181803952,246.887372974237,295,6+,One
mi,mi,0.6728971962616822,9883.599392528631,0.04556837693674772,219.31216567359021,5533,3,One
mi,mi,0.6728971962616822,9883.599392528631,0.04556837693674772,219.31216567359021,162,3+,One
fi,fi,0.6666666666666666,10988.273523801936,0.04622501635210243,302.9362491763139,811,4+,One
fi,fi,0.6666666666666666,10988.273523801936,0.04622501635210243,302.9362491763139,159,5-,One
ra,ra,0.6226415094339622,10747.585707566523,0.047304390228528954,270.8458221523178,250,2-,One
le,le,0.6074766355140186,11403.17485980353,0.04742907046004221,291.10498444604656,327,6-,One
le,le,0.6074766355140186,11403.17485980353,0.04742907046004221,291.10498444604656,315,5+,One
me,me,0.6019417475728155,11279.979029120948,0.048467482539772386,270.9525522811913,311,3-,One
te,te,0.5138888888888888,11105.750625005618,0.05931618532716555,334.44470546434576,1018,7-,One
