"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":7921.744999999646},{""page_index"":1,""viewing_time"":6314.410000006319},{""page_index"":2,""viewing_time"":2108.809999997902}]","16346.270000001823","instructions","0","17048","0.0-0.0","13509","","","","","",""
"","8797.725000003993","survey-text","1","25860","0.0-1.0","13509","{""Q0"":""21""}","","","","",""
"","10477.650000000722","survey-text","2","36339","0.0-2.0","13509","{""Q0"":""Bachelor's""}","","","","",""
"","5553.6599999977625","survey-text","3","41893","0.0-3.0","13509","{""Q0"":""moveable""}","","","","",""
"","3151.879999997618","survey-text","4","45047","0.0-4.0","13509","{""Q0"":""no""}","","","","",""
"","17865.72499999602","survey-text","5","62913","0.0-5.0","13509","{""Q0"":""45 weeks""}","","","","",""
"","4395.109999997658","survey-text","6","67310","0.0-6.0","13509","{""Q0"":""0""}","","","","",""
"[{""page_index"":0,""viewing_time"":6750.780000002123},{""page_index"":1,""viewing_time"":21910.23000000132},{""page_index"":2,""viewing_time"":1815.9249999953317}]","30477.474999999686","instructions","7","97787","0.0-7.0","13509","","","","","",""
"","8528.989999998885","audio-button-response","8","106337","0.0-8.0","13509","","stimuli/long/c-do.mp3","0","","",""
"","6664.955000000191","audio-button-response","9","113005","0.0-9.0","13509","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":4602.02500000014},{""page_index"":1,""viewing_time"":15967.734999998356}]","20570.0050000014","instructions","10","133574","0.0-10.0","13509","","","","","",""
"","7938.609999997425","audio-button-response","11","141514","0.0-11.0-0.0","13509","","stimuli/long/a-do8.mp3","0","","",""
"","8024.265000000014","audio-button-response","12","149540","0.0-11.0-0.1","13509","","stimuli/long/e-do.mp3","0","","",""
"","7906.295000000682","audio-button-response","13","157448","0.0-11.0-0.2","13509","","stimuli/long/e-te.mp3","10","","",""
"","8631.374999997206","audio-button-response","14","166080","0.0-11.0-0.3","13509","","stimuli/long/e-mi.mp3","4","","",""
"","7624.2050000000745","audio-button-response","15","173705","0.0-11.0-0.4","13509","","stimuli/long/c-do8.mp3","0","","",""
"","8262.614999999641","audio-button-response","16","181969","0.0-11.0-0.5","13509","","stimuli/long/c-mi.mp3","4","","",""
"","8068.52500000241","audio-button-response","17","190039","0.0-11.0-0.6","13509","","stimuli/long/e-sol.mp3","7","","",""
"","8398.805000004359","audio-button-response","18","198439","0.0-11.0-0.7","13509","","stimuli/long/c-la.mp3","9","","",""
"","8554.239999997662","audio-button-response","19","206996","0.0-11.0-0.8","13509","","stimuli/long/c-le.mp3","8","","",""
"","8553.91999999847","audio-button-response","20","215552","0.0-11.0-0.9","13509","","stimuli/long/e-le.mp3","8","","",""
"","10431.03500000143","audio-button-response","21","225985","0.0-11.0-0.10","13509","","stimuli/long/e-me.mp3","3","","",""
"","9274.670000006154","audio-button-response","22","235262","0.0-11.0-0.11","13509","","stimuli/long/a-mi.mp3","4","","",""
"","13063.809999999648","audio-button-response","23","248327","0.0-11.0-0.12","13509","","stimuli/long/a-me.mp3","3","","",""
"","8284.315000004426","audio-button-response","24","256612","0.0-11.0-0.13","13509","","stimuli/long/a-ra.mp3","1","","",""
"","9265.545000002021","audio-button-response","25","265880","0.0-11.0-0.14","13509","","stimuli/long/c-me.mp3","3","","",""
"","8467.980000001262","audio-button-response","26","274349","0.0-11.0-0.15","13509","","stimuli/long/c-ra.mp3","8","","",""
"","8748.429999999644","audio-button-response","27","283098","0.0-11.0-0.16","13509","","stimuli/long/a-sol.mp3","7","","",""
"","8020.609999999579","audio-button-response","28","291120","0.0-11.0-0.17","13509","","stimuli/long/a-ti.mp3","11","","",""
"","7856.229999997595","audio-button-response","29","298977","0.0-11.0-0.18","13509","","stimuli/long/c-re.mp3","2","","",""
"","7536.414999995031","audio-button-response","30","306515","0.0-11.0-0.19","13509","","stimuli/long/e-re.mp3","2","","",""
"","7672.55500000465","audio-button-response","31","314189","0.0-11.0-0.20","13509","","stimuli/long/c-sol.mp3","7","","",""
"","7719.100000002072","audio-button-response","32","321909","0.0-11.0-0.21","13509","","stimuli/long/e-ti.mp3","11","","",""
"","7627.739999996265","audio-button-response","33","329539","0.0-11.0-0.22","13509","","stimuli/long/a-fa.mp3","5","","",""
"","7817.150000002584","audio-button-response","34","337357","0.0-11.0-0.23","13509","","stimuli/long/c-do.mp3","0","","",""
"","7852.615000003425","audio-button-response","35","345210","0.0-11.0-0.24","13509","","stimuli/long/a-la.mp3","9","","",""
"","11445.255000006","audio-button-response","36","356657","0.0-11.0-0.25","13509","","stimuli/long/e-fa.mp3","7","","",""
"","7538.215000000491","audio-button-response","37","364196","0.0-11.0-0.26","13509","","stimuli/long/c-ti.mp3","11","","",""
"","7727.160000002186","audio-button-response","38","371925","0.0-11.0-0.27","13509","","stimuli/long/a-re.mp3","2","","",""
"","8636.115000001155","audio-button-response","39","380562","0.0-11.0-0.28","13509","","stimuli/long/e-ra.mp3","8","","",""
"","7593.909999995958","audio-button-response","40","388157","0.0-11.0-0.29","13509","","stimuli/long/a-le.mp3","8","","",""
"","8832.425000000512","audio-button-response","41","396991","0.0-11.0-0.30","13509","","stimuli/long/e-fi.mp3","6","","",""
"","8162.059999995108","audio-button-response","42","405154","0.0-11.0-0.31","13509","","stimuli/long/a-do.mp3","0","","",""
"","9376.915000000736","audio-button-response","43","414532","0.0-11.0-0.32","13509","","stimuli/long/c-fi.mp3","6","","",""
"","12541.930000006687","audio-button-response","44","427075","0.0-11.0-0.33","13509","","stimuli/long/c-fa.mp3","5","","",""
"","10235.70500000642","audio-button-response","45","437312","0.0-11.0-0.34","13509","","stimuli/long/a-te.mp3","10","","",""
"","8328.7049999999","audio-button-response","46","445642","0.0-11.0-0.35","13509","","stimuli/long/a-fi.mp3","6","","",""
"","8329.460000000836","audio-button-response","47","453973","0.0-11.0-0.36","13509","","stimuli/long/e-do8.mp3","12","","",""
"","8525.754999995115","audio-button-response","48","462500","0.0-11.0-0.37","13509","","stimuli/long/e-la.mp3","9","","",""
"[{""page_index"":0,""viewing_time"":51329.08999999933},{""page_index"":1,""viewing_time"":2364.3250000022817}]","53693.87499999715","instructions","49","516191","0.0-12.0","13509","","","","","",""
"","null","audio-keyboard-response","50","525754","0.0-13.0-0.0","13509","","new_stimuli/mp3/melody_v7_v3_buffer.mp3","","null","",""
"","2692.889999998384","html-button-response","51","528448","0.0-13.0-1.0","13509","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","11","","1","new_stimuli/mp3/melody_v7_v3_buffer.mp3"
"","1545.81500000495","html-button-response","52","529995","0.0-13.0-2.0","13509","","<p>Which tone was played second after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","4","","2","new_stimuli/mp3/melody_v7_v3_buffer.mp3"
"","null","audio-keyboard-response","53","539168","0.0-13.0-0.1","13509","","new_stimuli/mp3/melody_^2_v7-_.mp3","","null","",""
"","2837.9899999999907","html-button-response","54","542008","0.0-13.0-1.1","13509","","<p>Which tone was played first after the cadence?</p><p>Please respond as quickly and as accurately as possible!</p>","2","","1","new_stimuli/mp3/melody_^2_v7-_.mp3"
