"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","key_press","response_sequence","melody"
"[{""page_index"":0,""viewing_time"":5313},{""page_index"":1,""viewing_time"":21259},{""page_index"":2,""viewing_time"":3680}]","30253","instructions","0","30259","0.0-0.0","35697","","","","","",""
"","4821","survey-text","1","35082","0.0-1.0","35697","{""Q0"":""28""}","","","","",""
"","22902","survey-text","2","57987","0.0-2.0","35697","{""Q0"":""Master Student""}","","","","",""
"","119641","survey-text","3","177631","0.0-3.0","35697","{""Q0"":""Fixed-Do""}","","","","",""
"","4856","survey-text","4","182490","0.0-4.0","35697","{""Q0"":""No""}","","","","",""
"","38333","survey-text","5","220826","0.0-5.0","35697","{""Q0"":""30""}","","","","",""
"","8549","survey-text","6","229379","0.0-6.0","35697","{""Q0"":""0""}","","","","",""
"[{""page_index"":0,""viewing_time"":3363},{""page_index"":1,""viewing_time"":22023},{""page_index"":2,""viewing_time"":2654}]","28040","instructions","7","257419","0.0-7.0","35697","","","","","",""
"","12966","audio-button-response","8","270389","0.0-8.0","35697","","stimuli/long/c-do.mp3","0","","",""
"","13297","audio-button-response","9","283689","0.0-9.0","35697","","stimuli/long/a-le.mp3","8","","",""
"[{""page_index"":0,""viewing_time"":2937},{""page_index"":1,""viewing_time"":29181}]","32118","instructions","10","315808","0.0-10.0","35697","","","","","",""
"","null","audio-button-response","11","335812","0.0-11.0-0.0","35697","","stimuli/long/c-ti.mp3","null","","",""
"","11647","audio-button-response","12","347460","0.0-11.0-0.1","35697","","stimuli/long/c-le.mp3","5","","",""
"","9257","audio-button-response","13","356719","0.0-11.0-0.2","35697","","stimuli/long/a-la.mp3","8","","",""
"","8516","audio-button-response","14","365238","0.0-11.0-0.3","35697","","stimuli/long/c-do8.mp3","12","","",""
"","10059","audio-button-response","15","375300","0.0-11.0-0.4","35697","","stimuli/long/c-sol.mp3","7","","",""
"","9629","audio-button-response","16","384933","0.0-11.0-0.5","35697","","stimuli/long/e-fi.mp3","6","","",""
"","8198","audio-button-response","17","393133","0.0-11.0-0.6","35697","","stimuli/long/a-ra.mp3","11","","",""
"","8608","audio-button-response","18","401741","0.0-11.0-0.7","35697","","stimuli/long/a-le.mp3","9","","",""
"","7770","audio-button-response","19","409513","0.0-11.0-0.8","35697","","stimuli/long/e-do.mp3","0","","",""
"","8642","audio-button-response","20","418156","0.0-11.0-0.9","35697","","stimuli/long/e-la.mp3","9","","",""
"","8466","audio-button-response","21","426625","0.0-11.0-0.10","35697","","stimuli/long/a-ti.mp3","11","","",""
"","7889","audio-button-response","22","434517","0.0-11.0-0.11","35697","","stimuli/long/a-do8.mp3","12","","",""
"","9142","audio-button-response","23","443661","0.0-11.0-0.12","35697","","stimuli/long/a-fi.mp3","5","","",""
"","9144","audio-button-response","24","452806","0.0-11.0-0.13","35697","","stimuli/long/e-ra.mp3","3","","",""
"","9439","audio-button-response","25","462246","0.0-11.0-0.14","35697","","stimuli/long/e-me.mp3","5","","",""
"","9208","audio-button-response","26","471455","0.0-11.0-0.15","35697","","stimuli/long/e-ti.mp3","1","","",""
"","7433","audio-button-response","27","478891","0.0-11.0-0.16","35697","","stimuli/long/a-do.mp3","0","","",""
"","8665","audio-button-response","28","487559","0.0-11.0-0.17","35697","","stimuli/long/a-re.mp3","2","","",""
"","9508","audio-button-response","29","497070","0.0-11.0-0.18","35697","","stimuli/long/e-mi.mp3","7","","",""
"","10115","audio-button-response","30","507186","0.0-11.0-0.19","35697","","stimuli/long/c-mi.mp3","3","","",""
"","8472","audio-button-response","31","515659","0.0-11.0-0.20","35697","","stimuli/long/a-sol.mp3","0","","",""
"","10094","audio-button-response","32","525755","0.0-11.0-0.21","35697","","stimuli/long/a-fa.mp3","10","","",""
"","10144","audio-button-response","33","535901","0.0-11.0-0.22","35697","","stimuli/long/a-te.mp3","8","","",""
"","9645","audio-button-response","34","545549","0.0-11.0-0.23","35697","","stimuli/long/c-re.mp3","1","","",""
"","13158","audio-button-response","35","558708","0.0-11.0-0.24","35697","","stimuli/long/e-te.mp3","5","","",""
"","11727","audio-button-response","36","570437","0.0-11.0-0.25","35697","","stimuli/long/c-fi.mp3","3","","",""
"","11446","audio-button-response","37","581885","0.0-11.0-0.26","35697","","stimuli/long/c-me.mp3","6","","",""
"","12655","audio-button-response","38","594542","0.0-11.0-0.27","35697","","stimuli/long/e-fa.mp3","3","","",""
"","13814","audio-button-response","39","608358","0.0-11.0-0.28","35697","","stimuli/long/e-re.mp3","9","","",""
"","7834","audio-button-response","40","616193","0.0-11.0-0.29","35697","","stimuli/long/e-do8.mp3","12","","",""
"","7667","audio-button-response","41","623862","0.0-11.0-0.30","35697","","stimuli/long/c-do.mp3","0","","",""
"","10276","audio-button-response","42","634139","0.0-11.0-0.31","35697","","stimuli/long/a-me.mp3","3","","",""
"","13615","audio-button-response","43","647757","0.0-11.0-0.32","35697","","stimuli/long/c-fa.mp3","5","","",""
"","14811","audio-button-response","44","662570","0.0-11.0-0.33","35697","","stimuli/long/c-la.mp3","4","","",""
"","9199","audio-button-response","45","671771","0.0-11.0-0.34","35697","","stimuli/long/e-sol.mp3","7","","",""
"","10982","audio-button-response","46","682755","0.0-11.0-0.35","35697","","stimuli/long/c-ra.mp3","1","","",""
"","13985","audio-button-response","47","696741","0.0-11.0-0.36","35697","","stimuli/long/e-le.mp3","9","","",""
"","15605","audio-button-response","48","712347","0.0-11.0-0.37","35697","","stimuli/long/a-mi.mp3","3","","",""
